division,conference,teams_count,avg_net_impact,total_moves,avg_final_rating,best_team,best_offseason,most_active,strength_rating,competitive_balance
AFC East,AFC,4,1.1225,206,85.0225,BUF,NE,NE,85.0225,7.166083891033742
NFC North,NFC,4,-3.3149999999999995,46,84.66,DET,GB,CHI,84.66,7.371680043698771
AFC North,AFC,4,-0.6225000000000003,176,83.6775,BAL,CLE,PIT,83.6775,8.69236206869763
NFC West,NFC,4,-0.7250000000000001,193,83.2,SF,ARI,SEA,83.2,3.1101339735344693
AFC West,AFC,4,0.7750000000000001,187,82.47500000000001,KC,LV,LAC,82.47500000000001,6.938772706081861
NFC East,NFC,4,0.7549999999999998,157,82.43,PHI,NYG,DAL,82.43,7.927433380357096
AFC South,AFC,4,1.07,193,80.54499999999999,HOU,IND,TEN,80.54499999999999,5.570532589738015
NFC South,NFC,4,1.44,139,78.49,TB,CAR,NO,78.49,5.898909503741634
